拠点,取得時刻,機器の計測時刻,PV(V),BAT(V),取得方法
cam36,2026-08-16T05:57:57.706Z,2026-08-16 14:50:07,19.403,13.557,サーバー(直接取得)
cam40,2026-08-16T05:57:58.028Z,2026-08-16 14:50:07,19.991,13.548,サーバー(直接取得)
cam42,2026-08-16T05:57:58.237Z,2026-08-16 14:50:17,19.709,13.513,サーバー(直接取得)
cam43,2026-08-16T05:57:58.441Z,2026-08-16 14:50:23,18.752,13.460,サーバー(直接取得)
cam46,2026-08-16T05:57:58.650Z,2026-08-16 14:50:22,16.926,12.889,サーバー(直接取得)
cam47,2026-08-16T05:57:58.866Z,2026-08-16 14:50:07,19.146,13.544,サーバー(直接取得)
cam52,2026-08-16T05:57:59.072Z,2026-08-16 14:50:29,22.356,12.502,サーバー(直接取得)
cam53,2026-08-16T05:57:59.286Z,2026-08-16 14:50:04,22.404,13.605,サーバー(直接取得)
cam54,2026-08-16T05:57:59.502Z,2026-08-16 14:50:21,22.147,12.634,サーバー(直接取得)
cam55,2026-08-16T05:57:59.711Z,2026-08-16 14:50:22,22.492,12.603,サーバー(直接取得)
cam01,2026-08-16T06:33:26.979Z,2026-08-16 15:30:07,21.624,13.614,サーバー(直接取得)
cam02,2026-08-16T06:33:27.878Z,2026-08-16 15:30:07,20.658,13.601,サーバー(直接取得)
cam03,2026-08-16T06:33:28.139Z,2026-08-16 15:30:16,19.958,13.464,サーバー(直接取得)
cam04,2026-08-16T06:33:28.398Z,2026-08-16 15:30:06,18.744,13.522,サーバー(直接取得)
cam08,2026-08-16T06:33:28.667Z,2026-08-16 15:30:21,22.838,12.581,サーバー(直接取得)
cam09,2026-08-16T06:33:28.925Z,2026-08-16 15:32:44,20.095,13.535,サーバー(直接取得)
cam11,2026-08-16T06:33:29.188Z,2026-08-16 15:30:07,20.232,13.456,サーバー(直接取得)
cam12,2026-08-16T06:33:29.460Z,2026-08-16 15:30:07,17.094,13.399,サーバー(直接取得)
cam13,2026-08-16T06:33:29.722Z,2026-08-16 15:30:07,20.674,13.610,サーバー(直接取得)
cam14,2026-08-16T06:33:29.985Z,2026-08-16 15:30:20,20.248,13.464,サーバー(直接取得)
cam36,2026-08-16T06:33:30.244Z,2026-08-16 15:30:07,19.612,13.552,サーバー(直接取得)
cam40,2026-08-16T06:33:30.515Z,2026-08-16 15:30:07,16.990,13.495,サーバー(直接取得)
cam42,2026-08-16T06:33:30.779Z,2026-08-16 15:30:19,16.990,13.069,サーバー(直接取得)
cam43,2026-08-16T06:33:31.046Z,2026-08-16 15:30:19,19.339,13.473,サーバー(直接取得)
cam46,2026-08-16T06:33:31.312Z,2026-08-16 15:30:19,18.205,12.796,サーバー(直接取得)
cam47,2026-08-16T06:33:31.575Z,2026-08-16 15:30:07,16.958,13.135,サーバー(直接取得)
cam52,2026-08-16T06:33:31.840Z,2026-08-16 15:30:29,20.449,13.561,サーバー(直接取得)
cam53,2026-08-16T06:33:32.106Z,2026-08-16 15:30:04,22.734,13.733,サーバー(直接取得)
cam54,2026-08-16T06:33:32.370Z,2026-08-16 15:30:20,22.645,12.607,サーバー(直接取得)
cam55,2026-08-16T06:33:32.629Z,2026-08-16 15:30:22,22.323,12.590,サーバー(直接取得)
cam01,2026-08-16T07:10:51.732Z,2026-08-16 16:10:07,21.302,13.614,サーバー(直接取得)
cam02,2026-08-16T07:10:52.685Z,2026-08-16 16:10:07,17.046,13.377,サーバー(直接取得)
cam03,2026-08-16T07:10:52.946Z,2026-08-16 16:10:14,17.199,13.407,サーバー(直接取得)
cam04,2026-08-16T07:10:53.215Z,2026-08-16 16:10:07,17.102,13.073,サーバー(直接取得)
cam08,2026-08-16T07:10:53.478Z,2026-08-16 16:00:21,22.661,12.572,サーバー(直接取得)
cam09,2026-08-16T07:10:53.749Z,2026-08-16 16:10:16,17.078,12.831,サーバー(直接取得)
cam11,2026-08-16T07:10:54.014Z,2026-08-16 16:10:07,20.401,13.460,サーバー(直接取得)
cam12,2026-08-16T07:10:54.274Z,2026-08-16 16:10:07,17.094,13.144,サーバー(直接取得)
cam13,2026-08-16T07:10:54.543Z,2026-08-16 16:10:07,19.468,13.610,サーバー(直接取得)
cam14,2026-08-16T07:10:54.813Z,2026-08-16 16:10:18,19.500,13.460,サーバー(直接取得)
cam36,2026-08-16T07:10:55.069Z,2026-08-16 16:10:07,16.982,13.267,サーバー(直接取得)
cam40,2026-08-16T07:10:55.333Z,2026-08-16 16:10:07,16.998,13.394,サーバー(直接取得)
cam42,2026-08-16T07:10:55.602Z,2026-08-16 16:00:19,16.998,12.919,サーバー(直接取得)
cam43,2026-08-16T07:10:55.876Z,2026-08-16 16:00:22,17.143,12.783,サーバー(直接取得)
cam46,2026-08-16T07:10:56.145Z,2026-08-16 16:00:23,17.939,12.761,サーバー(直接取得)
cam47,2026-08-16T07:10:56.412Z,2026-08-16 16:10:07,16.958,13.082,サーバー(直接取得)
cam52,2026-08-16T07:10:56.679Z,2026-08-16 16:10:27,22.235,13.583,サーバー(直接取得)
cam53,2026-08-16T07:10:56.961Z,2026-08-16 16:10:04,21.809,13.900,サーバー(直接取得)
cam54,2026-08-16T07:10:57.232Z,2026-08-16 16:10:20,22.042,12.581,サーバー(直接取得)
cam55,2026-08-16T07:10:57.503Z,2026-08-16 16:10:21,21.447,12.590,サーバー(直接取得)
cam01,2026-08-16T07:43:25.877Z,2026-08-16 16:40:07,16.990,13.188,サーバー(直接取得)
cam02,2026-08-16T07:43:26.656Z,2026-08-16 16:40:06,17.038,13.297,サーバー(直接取得)
cam03,2026-08-16T07:43:26.904Z,2026-08-16 16:40:16,17.070,13.152,サーバー(直接取得)
cam04,2026-08-16T07:43:27.148Z,2026-08-16 16:40:07,17.086,12.915,サーバー(直接取得)
cam08,2026-08-16T07:43:27.389Z,2026-08-16 16:30:22,22.002,12.563,サーバー(直接取得)
cam09,2026-08-16T07:43:27.631Z,2026-08-16 16:40:16,17.094,12.748,サーバー(直接取得)
cam11,2026-08-16T07:43:27.871Z,2026-08-16 16:40:07,17.537,12.880,サーバー(直接取得)
cam12,2026-08-16T07:43:28.114Z,2026-08-16 16:40:07,17.086,12.959,サーバー(直接取得)
cam13,2026-08-16T07:43:28.362Z,2026-08-16 16:40:06,17.030,13.016,サーバー(直接取得)
cam14,2026-08-16T07:43:28.603Z,2026-08-16 16:40:20,16.934,12.845,サーバー(直接取得)
cam36,2026-08-16T07:43:28.859Z,2026-08-16 16:40:07,16.998,13.104,サーバー(直接取得)
cam40,2026-08-16T07:43:29.104Z,2026-08-16 16:40:07,16.990,13.183,サーバー(直接取得)
cam42,2026-08-16T07:43:29.351Z,2026-08-16 16:40:19,17.255,12.770,サーバー(直接取得)
cam43,2026-08-16T07:43:29.604Z,2026-08-16 16:40:16,17.135,12.590,サーバー(直接取得)
cam46,2026-08-16T07:43:29.854Z,2026-08-16 16:40:20,17.529,12.682,サーバー(直接取得)
cam47,2026-08-16T07:43:30.099Z,2026-08-16 16:40:07,16.942,12.911,サーバー(直接取得)
cam52,2026-08-16T07:43:30.349Z,2026-08-16 16:40:25,17.859,12.678,サーバー(直接取得)
cam53,2026-08-16T07:43:30.599Z,2026-08-16 16:40:04,20.690,13.693,サーバー(直接取得)
cam54,2026-08-16T07:43:30.847Z,2026-08-16 16:40:21,21.640,12.572,サーバー(直接取得)
cam55,2026-08-16T07:43:31.091Z,2026-08-16 16:40:22,20.843,12.572,サーバー(直接取得)
cam01,2026-08-16T07:59:50.106Z,2026-08-16 16:50:07,17.521,13.051,サーバー(直接取得)
cam02,2026-08-16T07:59:50.752Z,2026-08-16 16:50:08,17.022,13.122,サーバー(直接取得)
cam03,2026-08-16T07:59:50.971Z,2026-08-16 16:50:12,17.062,13.047,サーバー(直接取得)
cam04,2026-08-16T07:59:51.188Z,2026-08-16 16:50:07,17.094,12.928,サーバー(直接取得)
cam08,2026-08-16T07:59:51.439Z,2026-08-16 16:30:22,22.002,12.563,サーバー(直接取得)
cam09,2026-08-16T07:59:51.657Z,2026-08-16 16:50:18,17.086,12.748,サーバー(直接取得)
cam11,2026-08-16T07:59:51.873Z,2026-08-16 16:50:06,17.569,12.853,サーバー(直接取得)
cam12,2026-08-16T07:59:52.089Z,2026-08-16 16:50:06,17.086,12.937,サーバー(直接取得)
cam13,2026-08-16T07:59:52.301Z,2026-08-16 16:50:07,17.014,13.020,サーバー(直接取得)
cam14,2026-08-16T07:59:52.527Z,2026-08-16 16:50:16,16.950,12.814,サーバー(直接取得)
cam36,2026-08-16T07:59:52.745Z,2026-08-16 16:50:07,16.998,13.095,サーバー(直接取得)
cam40,2026-08-16T07:59:52.976Z,2026-08-16 16:50:07,16.990,13.117,サーバー(直接取得)
cam42,2026-08-16T07:59:53.191Z,2026-08-16 16:50:19,17.328,12.726,サーバー(直接取得)
cam43,2026-08-16T07:59:53.408Z,2026-08-16 16:50:23,17.279,12.572,サーバー(直接取得)
cam46,2026-08-16T07:59:53.627Z,2026-08-16 16:50:23,17.368,12.651,サーバー(直接取得)
cam47,2026-08-16T07:59:53.841Z,2026-08-16 16:50:07,16.950,12.884,サーバー(直接取得)
cam52,2026-08-16T07:59:54.054Z,2026-08-16 16:50:25,18.148,12.700,サーバー(直接取得)
cam53,2026-08-16T07:59:54.276Z,2026-08-16 16:50:04,21.632,13.728,サーバー(直接取得)
cam54,2026-08-16T07:59:54.489Z,2026-08-16 16:50:20,21.608,12.572,サーバー(直接取得)
cam55,2026-08-16T07:59:54.700Z,2026-08-16 16:50:21,21.205,12.568,サーバー(直接取得)
