拠点,取得時刻,機器の計測時刻,PV(V),BAT(V),水位(m),取得方法
cam02,2026-08-29T07:24:40.078Z,2026-08-29 16:20:07,17.046,12.493,0.490,サーバー(直接取得)
cam03,2026-08-29T07:24:40.079Z,2026-08-29 16:20:17,15.823,12.352,-4.580,サーバー(直接取得)
cam04,2026-08-29T07:24:40.080Z,2026-08-29 16:20:07,17.119,12.620,1.050,サーバー(直接取得)
cam08,2026-08-29T07:24:40.081Z,2026-08-29 16:20:21,17.046,12.462,0.190,サーバー(直接取得)
cam09,2026-08-29T07:24:40.665Z,2026-08-29 16:20:22,17.135,12.317,0.320,サーバー(直接取得)
cam11,2026-08-29T07:24:40.669Z,2026-08-29 16:20:06,17.175,12.493,0.446,サーバー(直接取得)
cam12,2026-08-29T07:24:40.672Z,2026-08-29 16:20:07,17.102,12.528,-0.067,サーバー(直接取得)
cam13,2026-08-29T07:24:40.700Z,2026-08-29 16:20:06,17.070,12.708,0.057,サーバー(直接取得)
cam14,2026-08-29T07:24:40.764Z,2026-08-29 16:20:19,16.966,12.330,0.067,サーバー(直接取得)
cam36,2026-08-29T07:24:40.888Z,2026-08-29 16:20:07,17.014,12.678,0.032,サーバー(直接取得)
cam39,2026-08-29T07:24:40.901Z,2026-08-29 16:24:06,24.085,13.385,0.059,サーバー(直接取得)
cam40,2026-08-29T07:24:40.910Z,2026-08-29 16:20:07,17.022,12.682,0.235,サーバー(直接取得)
cam41,2026-08-29T07:24:40.927Z,2026-08-29 16:20:03,16.161,12.594,0.115,サーバー(直接取得)
cam42,2026-08-29T07:24:40.980Z,2026-08-29 16:20:17,17.054,12.361,0.420,サーバー(直接取得)
cam43,2026-08-29T07:24:41.108Z,2026-08-29 16:20:23,17.159,12.115,0.450,サーバー(直接取得)
cam44,2026-08-29T07:24:41.127Z,2026-08-29 16:20:03,12.332,12.343,0.180,サーバー(直接取得)
cam45,2026-08-29T07:24:41.145Z,2026-08-29 16:20:03,16.966,12.541,0.340,サーバー(直接取得)
cam46,2026-08-29T07:24:41.150Z,2026-08-29 16:20:23,16.990,12.198,0.760,サーバー(直接取得)
cam47,2026-08-29T07:24:41.194Z,2026-08-29 16:20:07,16.982,12.453,0.481,サーバー(直接取得)
cam48,2026-08-29T07:24:41.332Z,2026-08-29 16:20:03,24.182,13.750,-16.480,サーバー(直接取得)
cam50,2026-08-29T07:24:41.346Z,2026-08-29 16:24:00,23.659,13.504,0.200,サーバー(直接取得)
cam51,2026-08-29T07:24:41.359Z,2026-08-29 16:24:20,23.587,13.605,0.130,サーバー(直接取得)
cam52,2026-08-29T07:24:41.365Z,2026-08-29 16:20:26,16.990,12.185,0.170,サーバー(直接取得)
cam53,2026-08-29T07:24:41.408Z,2026-08-29 16:20:27,16.958,12.436,0.040,サーバー(直接取得)
cam54,2026-08-29T07:24:41.549Z,2026-08-29 16:20:21,17.054,12.260,0.060,サーバー(直接取得)
cam55,2026-08-29T07:24:41.563Z,2026-08-29 16:20:21,17.127,12.326,0.660,サーバー(直接取得)
kw01,2026-08-29T07:24:41.565Z,2026/08/29 16:10,,,0.510,サーバー(国交省 川の防災情報)
kw02,2026-08-29T07:24:41.575Z,2026/08/29 16:10,,,0.200,サーバー(国交省 川の防災情報)
kw03,2026-08-29T07:24:41.621Z,2026/08/29 16:10,,,1.030,サーバー(国交省 川の防災情報)
kw04,2026-08-29T07:24:41.766Z,2026/08/29 16:10,,,0.760,サーバー(国交省 川の防災情報)
kw05,2026-08-29T07:24:41.788Z,2026/08/29 15:55,,,-1.270,サーバー(国交省 川の防災情報)
kw06,2026-08-29T07:24:41.994Z,2026/08/29 09:00,,,-2.650,サーバー(国交省 川の防災情報)
kw07,2026-08-29T07:24:42.044Z,2026/08/29 09:00,,,-4.220,サーバー(国交省 川の防災情報)
kw08,2026-08-29T07:24:42.230Z,2026/08/29 16:10,,,0.530,サーバー(国交省 川の防災情報)
kw09,2026-08-29T07:24:42.275Z,2026/08/29 10:00,,,-4.040,サーバー(国交省 川の防災情報)
kw10,2026-08-29T07:24:42.363Z,2026/08/29 16:10,,,0.290,サーバー(国交省 川の防災情報)
kw11,2026-08-29T07:24:42.475Z,2026/08/29 16:10,,,-0.430,サーバー(国交省 川の防災情報)
